,0
Start,2022-01-18 13:30:00
End,2022-09-02 20:00:00
Duration,227 days 06:30:00
Exposure Time [%],98.137
Equity Final [$],193496.389
Equity Peak [$],203007.379
Return [%],93.496
Buy & Hold Return [%],-8.486
Return (Ann.) [%],184.675
Volatility (Ann.) [%],79.967
Sharpe Ratio,2.309
Sortino Ratio,11.998
Calmar Ratio,23.315
Max. Drawdown [%],-7.921
Avg. Drawdown [%],-1.12
Max. Drawdown Duration,31 days 00:00:00
Avg. Drawdown Duration,1 days 15:23:00
# Trades,50
Win Rate [%],58.0
Best Trade [%],14.785
Worst Trade [%],-2.654
Avg. Trade [%],1.33
Max. Trade Duration,15 days 21:45:00
Avg. Trade Duration,4 days 11:46:00
Profit Factor,3.217
Expectancy [%],1.385
SQN,2.769
